seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	45114482	45114565	84	*	X14406	56981	45115564	45256675	141112	+	998	upstream	998	PRDM11
chr11	45115031	45115165	135	*	X14407	56981	45115564	45256675	141112	+	398	upstream	398	PRDM11
chr11	45115760	45115809	50	*	X14408	56981	45115564	45256675	141112	+	0	inside	195	PRDM11
chr11	45307951	45307992	42	*	X14427	57586	45261853	45307884	46032	-	66	upstream	66	SYT13
chr11	45308848	45308967	120	*	X14428	57586	45261853	45307884	46032	-	963	upstream	963	SYT13
chr11	45687492	45687518	27	*	X14656	8534	45669239	45687206	17968	-	285	upstream	285	CHST1
chr11	45687534	45687683	150	*	X14657	8534	45669239	45687206	17968	-	327	upstream	327	CHST1
chr11	45688674	45689018	345	*	X14658	8534	45669239	45687206	17968	-	1467	upstream	1467	CHST1
chr11	45742434	45742568	135	*	X14704	100507384	45743858	45746106	2249	+	1289	upstream	1289	LOC100507384
chr11	45743199	45743459	261	*	X14705	100507384	45743858	45746106	2249	+	398	upstream	398	LOC100507384
chr11	45743944	45744078	135	*	X14706	100507384	45743858	45746106	2249	+	0	inside	85	LOC100507384
chr11	45790963	45791082	120	*	X14737	374387	45792983	45793909	927	+	1900	upstream	1900	LINC02716
chr11	45792733	45792879	147	*	X14738	374387	45792983	45793909	927	+	103	upstream	103	LINC02716
chr11	57149802	57149936	135	*	X14772	10394	57144242	57148623	4382	-	1178	upstream	1178	PRG3
chr11	57150042	57150146	105	*	X14773	10394	57144242	57148623	4382	-	1418	upstream	1418	PRG3
chr11	57310045	57310164	120	*	X14785	219537	57310114	57317747	7634	+	0	overlapStart	0	SMTNL1
chr11	59823781	59823848	68	*	X14839	932	59824101	59838588	14488	+	252	upstream	252	MS4A3
chr11	60553101	60553114	14	*	X14902	341116	60552821	60568778	15958	+	0	inside	279	MS4A10
chr11	60738170	60738289	120	*	X14945	923	60739113	60787848	48736	+	823	upstream	823	CD6
chr11	60739025	60739129	105	*	X14946	923	60739113	60787848	48736	+	0	overlapStart	0	CD6
chr11	60970566	60970700	135	*	X15051	643834	60970984	60980350	9367	+	283	upstream	283	PGA3
chr11	60970702	60970836	135	*	X15052	643834	60970984	60980350	9367	+	147	upstream	147	PGA3
chr11	60971076	60971165	90	*	X15053	643834	60970984	60980350	9367	+	0	inside	91	PGA3
chr11	61275465	61275584	120	*	X15060	100616470	61276068	61276129	62	+	483	upstream	483	MIR4488
chr11	61275465	61275584	120	*	X15060	390205	61276272	61278490	2219	+	687	upstream	687	LRRC10B
chr11	61349101	61349238	138	*	X15095	9066	61281188	61348344	67157	-	756	upstream	756	SYT7
chr11	61349509	61349763	255	*	X15096	9066	61281188	61348344	67157	-	1164	upstream	1164	SYT7
chr11	61349809	61349988	180	*	X15097	9066	61281188	61348344	67157	-	1464	upstream	1464	SYT7
chr11	61350169	61350211	43	*	X15098	9066	61281188	61348344	67157	-	1824	upstream	1824	SYT7
chr11	61957144	61957278	135	*	X15122	10648	61957710	61961009	3300	+	431	upstream	431	SCGB1D1
chr11	61957433	61957537	105	*	X15123	10648	61957710	61961009	3300	+	172	upstream	172	SCGB1D1
chr11	61976223	61976372	150	*	X15134	4246	61976140	61981411	5272	+	0	inside	82	SCGB2A1
chr11	62037738	62037807	70	*	X15137	4250	62037630	62040628	2999	+	0	inside	107	SCGB2A2
chr11	62066931	62067050	120	*	X15142	404552	62063754	62066536	2783	-	394	upstream	394	SCGB1D4
chr11	62067344	62067478	135	*	X15143	404552	62063754	62066536	2783	-	807	upstream	807	SCGB1D4
chr11	62067929	62068048	120	*	X15144	404552	62063754	62066536	2783	-	1392	upstream	1392	SCGB1D4
chr11	62186364	62186679	316	*	X15151	7356	62186507	62190678	4172	+	0	overlapStart	0	SCGB1A1
chr11	62752266	62752385	120	*	X15168	9356	62744069	62752495	8427	-	0	inside	109	SLC22A6
chr11	62782899	62783258	360	*	X15190	9376	62756626	62783317	26692	-	0	inside	58	SLC22A8
chr11	62783479	62783678	200	*	X15191	9376	62756626	62783317	26692	-	161	upstream	161	SLC22A8
chr11	64357923	64358026	104	*	X15277	116085	64358282	64369825	11544	+	255	upstream	255	SLC22A12
chr11	64491475	64491521	47	*	X15324	9379	64373646	64490660	117015	-	814	upstream	814	NRXN2
chr11	64491573	64491722	150	*	X15325	9379	64373646	64490660	117015	-	912	upstream	912	NRXN2
chr11	64492212	64492417	206	*	X15326	9379	64373646	64490660	117015	-	1551	upstream	1551	NRXN2
chr11	65547694	65547824	131	*	X15334	91056	65541369	65548062	6694	-	0	inside	237	AP5B1
chr11	67218486	67218642	157	*	X15356	57010	67219886	67229245	9360	+	1243	upstream	1243	CABP4
chr11	69454481	69454537	57	*	X15447	595	69455873	69469242	13370	+	1335	upstream	1335	CCND1
chr11	69455018	69455167	150	*	X15448	595	69455873	69469242	13370	+	705	upstream	705	CCND1
chr11	69455412	69455621	210	*	X15449	595	69455873	69469242	13370	+	251	upstream	251	CCND1
chr11	69456065	69456086	22	*	X15450	595	69455873	69469242	13370	+	0	inside	191	CCND1
chr11	70475690	70475990	301	*	X15694	100874198	70477199	70481595	4397	+	1208	upstream	1208	SHANK2-AS1
chr11	70476966	70477085	120	*	X15695	100874198	70477199	70481595	4397	+	113	upstream	113	SHANK2-AS1
chr11	70477431	70477453	23	*	X15696	100874198	70477199	70481595	4397	+	0	inside	231	SHANK2-AS1
chr11	70708815	70709279	465	*	X15893	220070	70708895	70711220	2326	+	0	overlapStart	0	SHANK2-AS3
chr11	70718942	70719091	150	*	X15904	100500844	70718375	70718473	99	-	468	upstream	468	MIR3664
chr11	70719525	70719674	150	*	X15905	100500844	70718375	70718473	99	-	1051	upstream	1051	MIR3664
chr11	71135069	71135323	255	*	X16066	399923	71116792	71134400	17609	-	668	upstream	668	ACTE1P
chr11	71238569	71238694	126	*	X16067	440050	71238313	71239210	898	+	0	inside	255	KRTAP5-7
chr11	71258229	71258363	135	*	X16070	3846	71259466	71260653	1188	+	1102	upstream	1102	KRTAP5-9
chr11	71259099	71259323	225	*	X16071	3846	71259466	71260653	1188	+	142	upstream	142	KRTAP5-9
chr11	71259639	71259687	49	*	X16072	3846	71259466	71260653	1188	+	0	inside	172	KRTAP5-9
chr11	71274792	71274911	120	*	X16076	387273	71276609	71277666	1058	+	1697	upstream	1697	KRTAP5-10
chr11	71275062	71275260	199	*	X16077	387273	71276609	71277666	1058	+	1348	upstream	1348	KRTAP5-10
chr11	71275307	71275316	10	*	X16078	387273	71276609	71277666	1058	+	1292	upstream	1292	KRTAP5-10
chr11	71295476	71295595	120	*	X16087	440051	71292901	71293921	1021	-	1554	upstream	1554	KRTAP5-11
chr11	94037535	94037639	105	*	X16409	390243	94038803	94040858	2056	+	1163	upstream	1163	IZUMO1R
chr11	94037940	94038104	165	*	X16410	390243	94038803	94040858	2056	+	698	upstream	698	IZUMO1R
chr11	94038165	94038434	270	*	X16411	390243	94038803	94040858	2056	+	368	upstream	368	IZUMO1R
chr11	94038945	94039094	150	*	X16412	390243	94038803	94040858	2056	+	0	inside	141	IZUMO1R
chr11	117801239	117801418	180	*	X16804	84000	117771356	117800168	28813	-	1070	upstream	1070	TMPRSS13
chr11	120136752	120137096	345	*	X16953	649133	120120468	120136641	16174	-	110	upstream	110	LOC649133
chr11	122887516	122887650	135	*	X17091	341056	122888274	122890319	2046	+	623	upstream	623	LOC341056
chr11	122887834	122887866	33	*	X17092	341056	122888274	122890319	2046	+	407	upstream	407	LOC341056
chr11	123911341	123911364	24	*	X17102	390265	123908773	123909708	936	-	1632	upstream	1632	OR10G7
chr11	124808060	124808179	120	*	X17115	220296	124789146	124806308	17163	-	1751	upstream	1751	HEPACAM
chr11	124824275	124824332	58	*	X17116	80071	124824017	124911385	87369	+	0	inside	257	CCDC15
chr12	258861	259160	300	*	X17493	574538	246577	258332	11756	-	528	upstream	528	LOC574538
chr12	259251	259445	195	*	X17494	574538	246577	258332	11756	-	918	upstream	918	LOC574538
chr12	259626	260015	390	*	X17495	574538	246577	258332	11756	-	1293	upstream	1293	LOC574538
chr12	323277	323502	226	*	X17520	6539	299243	323371	24129	-	0	overlapStart	0	SLC6A12
chr12	324087	324251	165	*	X17521	6539	299243	323371	24129	-	715	upstream	715	SLC6A12
chr12	325024	325143	120	*	X17522	6539	299243	323371	24129	-	1652	upstream	1652	SLC6A12
chr12	371990	372304	315	*	X17559	6540	329787	372039	42253	-	0	overlapStart	0	SLC6A13
chr12	1928571	1928581	11	*	X17586	654429	1929433	1945918	16486	+	851	upstream	851	LRTM2
chr12	1929570	1929790	221	*	X17587	654429	1929433	1945918	16486	+	0	inside	136	LRTM2
chr12	2160637	2160771	135	*	X17659	775	2162416	2807115	644700	+	1644	upstream	1644	CACNA1C
chr12	2333543	2333677	135	*	X17755	100874234	2329703	2332647	2945	-	895	upstream	895	CACNA1C-AS4
chr12	2377388	2377537	150	*	X17778	100874370	2378942	2397911	18970	+	1404	upstream	1404	CACNA1C-IT3
chr12	2377670	2377927	258	*	X17779	100874370	2378942	2397911	18970	+	1014	upstream	1014	CACNA1C-IT3
chr12	2378963	2379127	165	*	X17780	100874370	2378942	2397911	18970	+	0	inside	20	CACNA1C-IT3
chr12	2379233	2379367	135	*	X17781	100874370	2378942	2397911	18970	+	0	inside	290	CACNA1C-IT3
chr12	2801459	2801623	165	*	X18040	100652846	2785167	2800323	15157	-	1135	upstream	1135	CACNA1C-AS1
chr12	2880909	2881073	165	*	X18074	283440	2870366	2880835	10470	-	73	upstream	73	ITFG2-AS1
chr12	2881123	2881287	165	*	X18075	283440	2870366	2880835	10470	-	287	upstream	287	ITFG2-AS1
chr12	2882578	2882877	300	*	X18076	283440	2870366	2880835	10470	-	1742	upstream	1742	ITFG2-AS1
chr12	3489165	3489269	105	*	X18143	56341	3490515	3703138	212624	+	1245	upstream	1245	PRMT8
chr12	3490168	3490214	47	*	X18144	56341	3490515	3703138	212624	+	300	upstream	300	PRMT8
chr12	4554413	4554562	150	*	X18472	2251	4543308	4554780	11473	-	0	inside	217	FGF6
chr12	4554938	4555162	225	*	X18473	2251	4543308	4554780	11473	-	157	upstream	157	FGF6
chr12	4555336	4555623	288	*	X18474	2251	4543308	4554780	11473	-	555	upstream	555	FGF6
chr12	4555204	4555295	92	*	X18475	2251	4543308	4554780	11473	-	423	upstream	423	FGF6
chr12	4556633	4556797	165	*	X18476	2251	4543308	4554780	11473	-	1852	upstream	1852	FGF6
chr12	4829098	4829232	135	*	X18493	26290	4829752	4881892	52141	+	519	upstream	519	GALNT8
chr12	4829474	4829623	150	*	X18494	26290	4829752	4881892	52141	+	128	upstream	128	GALNT8
chr12	6055015	6055269	255	*	X18770	57101	5671817	6055398	383582	-	0	inside	128	ANO2
chr12	6055410	6055514	105	*	X18771	57101	5671817	6055398	383582	-	11	upstream	11	ANO2
chr12	6056430	6056534	105	*	X18772	57101	5671817	6055398	383582	-	1031	upstream	1031	ANO2
chr12	6056620	6056754	135	*	X18773	57101	5671817	6055398	383582	-	1221	upstream	1221	ANO2
chr12	6898366	6898433	68	*	X18798	920	6898638	6929976	31339	+	204	upstream	204	CD4
chr12	6930360	6930569	210	*	X18805	27239	6930963	6939175	8213	+	393	upstream	393	GPR162
chr12	6931259	6931349	91	*	X18806	27239	6930963	6939175	8213	+	0	inside	295	GPR162
chr12	7457171	7457305	135	*	X18813	341392	7456928	7480969	24042	+	0	inside	242	ACSM4
chr12	7940303	7940422	120	*	X18831	79923	7941995	7948655	6661	+	1572	upstream	1572	NANOG
chr12	7941302	7941390	89	*	X18832	79923	7941995	7948655	6661	+	604	upstream	604	NANOG
chr12	8288036	8288155	120	*	X18835	642559	8286365	8287448	1084	-	587	upstream	587	POU5F1P3
chr12	8664678	8664827	150	*	X18852	338339	8666136	8674960	8825	+	1308	upstream	1308	CLEC4D
chr12	11463492	11463626	135	*	X18860	5545	11033560	11463369	429810	-	122	upstream	122	PRB4
chr12	11698907	11699041	135	*	X18890	338817	11700964	11717335	16372	+	1922	upstream	1922	LINC01252
chr12	26277792	26277866	75	*	X19076	79365	26272959	26278003	5045	-	0	inside	136	BHLHE41
chr12	31077496	31077630	135	*	X19112	441631	31079362	31149537	70176	+	1731	upstream	1731	TSPAN11
chr12	31078006	31078275	270	*	X19113	441631	31079362	31149537	70176	+	1086	upstream	1086	TSPAN11
chr12	45460212	45460346	135	*	X19213	83956	45456401	45459194	2794	-	1017	upstream	1017	RACGAP1P1
chr12	48577189	48577352	164	*	X19231	387856	48577366	48579709	2344	+	13	upstream	13	CCDC184
chr12	48963612	48963737	126	*	X19237	3906	48961467	48963829	2363	-	0	inside	91	LALBA
chr12	49365956	49366075	120	*	X19256	7480	49359123	49365641	6519	-	314	upstream	314	WNT10B
chr12	49583087	49583142	56	*	X19257	7846	49578578	49583107	4530	-	0	overlapStart	0	TUBA1A
chr12	50450289	50450645	357	*	X19261	41	50451420	50477405	25986	+	774	upstream	774	ASIC1
chr12	50450863	50450905	43	*	X19262	41	50451420	50477405	25986	+	514	upstream	514	ASIC1
chr12	52225387	52225521	135	*	X19327	401720	52211676	52225701	14026	-	0	inside	179	FIGNL2
chr12	52225627	52225746	120	*	X19328	401720	52211676	52225701	14026	-	0	overlapStart	0	FIGNL2
chr12	52226002	52226121	120	*	X19329	401720	52211676	52225701	14026	-	300	upstream	300	FIGNL2
chr12	52226182	52226676	495	*	X19330	401720	52211676	52225701	14026	-	480	upstream	480	FIGNL2
chr12	52227262	52227426	165	*	X19331	401720	52211676	52225701	14026	-	1560	upstream	1560	FIGNL2
chr12	52343929	52344063	135	*	X19373	91	52345451	52390863	45413	+	1387	upstream	1387	ACVR1B
chr12	52761568	52761747	180	*	X19384	3891	52753790	52761309	7520	-	258	upstream	258	KRT85
chr12	52763183	52763412	230	*	X19385	3891	52753790	52761309	7520	-	1873	upstream	1873	KRT85
chr12	52780166	52780285	120	*	X19391	3890	52771596	52779417	7822	-	748	upstream	748	KRT84
chr12	52887126	52887212	87	*	X19423	3853	52880958	52887181	6224	-	0	overlapStart	0	KRT6A
chr12	52946671	52946770	100	*	X19431	112802	52937693	52946931	9239	-	0	inside	160	KRT71
chr12	52948196	52948295	100	*	X19432	112802	52937693	52946931	9239	-	1264	upstream	1264	KRT71
chr12	52948346	52948450	105	*	X19433	112802	52937693	52946931	9239	-	1414	upstream	1414	KRT71
chr12	52967216	52967335	120	*	X19454	121391	52959603	52967609	8007	-	0	inside	273	KRT74
chr12	52995923	52996057	135	*	X19478	140807	52979373	52995322	15950	-	600	upstream	600	KRT72
chr12	52996251	52996264	14	*	X19479	140807	52979373	52995322	15950	-	928	upstream	928	KRT72
chr12	52997288	52997407	120	*	X19480	140807	52979373	52995322	15950	-	1965	upstream	1965	KRT72
chr12	53012075	53012188	114	*	X19490	319101	53001354	53012343	10990	-	0	inside	154	KRT73
chr12	53045700	53045908	209	*	X19518	3849	53038342	53045959	7618	-	0	inside	50	KRT2
chr12	53047814	53047916	103	*	X19519	3849	53038342	53045959	7618	-	1854	upstream	1854	KRT2
chr12	53075968	53076147	180	*	X19538	3848	53068520	53074191	5672	-	1776	upstream	1776	KRT1
chr12	53096725	53097129	405	*	X19560	374454	53083411	53097247	13837	-	0	inside	117	KRT77
chr12	53228154	53228393	240	*	X19605	338785	53215231	53228077	12847	-	76	upstream	76	KRT79
chr12	53228860	53228917	58	*	X19606	338785	53215231	53228077	12847	-	782	upstream	782	KRT79
chr12	53229457	53229459	3	*	X19607	338785	53215231	53228077	12847	-	1379	upstream	1379	KRT79
chr12	53229715	53229834	120	*	X19608	338785	53215231	53228077	12847	-	1637	upstream	1637	KRT79
chr12	53229838	53229987	150	*	X19609	338785	53215231	53228077	12847	-	1760	upstream	1760	KRT79
chr12	53230060	53230209	150	*	X19610	338785	53215231	53228077	12847	-	1982	upstream	1982	KRT79
chr12	53243237	53243356	120	*	X19618	196374	53232746	53242778	10033	-	458	upstream	458	KRT78
chr12	53244589	53244721	133	*	X19619	196374	53232746	53242778	10033	-	1810	upstream	1810	KRT78
chr12	54982639	54982843	205	*	X19727	5502	54973024	54982443	9420	-	195	upstream	195	PPP1R1A
chr12	54982964	54983229	266	*	X19728	5502	54973024	54982443	9420	-	520	upstream	520	PPP1R1A
chr12	54983495	54983724	230	*	X19729	5502	54973024	54982443	9420	-	1051	upstream	1051	PPP1R1A
chr12	54984025	54984144	120	*	X19730	5502	54973024	54982443	9420	-	1581	upstream	1581	PPP1R1A
chr12	54984355	54984579	225	*	X19731	5502	54973024	54982443	9420	-	1911	upstream	1911	PPP1R1A
chr12	55004249	55004383	135	*	X19746	644076	55001971	55004246	2276	-	2	upstream	2	GLYCAM1
chr12	55005655	55005804	150	*	X19747	644076	55001971	55004246	2276	-	1408	upstream	1408	GLYCAM1
chr12	55028369	55028614	246	*	X19759	90070	55024623	55028663	4041	-	0	inside	48	LACRT
chr12	55028695	55028949	255	*	X19760	90070	55024623	55028663	4041	-	31	upstream	31	LACRT
chr12	55041911	55042105	195	*	X19769	117159	55038375	55042149	3775	-	0	inside	43	DCD
chr12	55411475	55411764	290	*	X19813	58158	55413729	55423801	10073	+	1964	upstream	1964	NEUROD4
chr12	55411825	55411959	135	*	X19814	58158	55413729	55423801	10073	+	1769	upstream	1769	NEUROD4
chr12	55413460	55413508	49	*	X19815	58158	55413729	55423801	10073	+	220	upstream	220	NEUROD4
chr12	55523110	55523229	120	*	X19831	441639	55523553	55524560	1008	+	323	upstream	323	OR9K2
chr12	56029436	56029555	120	*	X19841	121130	56030676	56031617	942	+	1120	upstream	1120	OR10P1
chr12	56135873	56135877	5	*	X19846	10220	56137064	56146665	9602	+	1186	upstream	1186	GDF11
chr12	56136103	56136134	32	*	X19847	10220	56137064	56146665	9602	+	929	upstream	929	GDF11
chr12	57351408	57351464	57	*	X19853	8608	57345216	57351418	6203	-	0	overlapStart	0	RDH16
chr12	57609010	57609174	165	*	X19862	11247	57610578	57620232	9655	+	1403	upstream	1403	NXPH4
chr12	57609673	57609944	272	*	X19863	11247	57610578	57620232	9655	+	633	upstream	633	NXPH4
chr12	66217318	66217467	150	*	X19928	8091	66217437	66360071	142635	+	0	overlapStart	0	HMGA2
chr12	100866459	100866623	165	*	X20087	9971	100867551	100957645	90095	+	927	upstream	927	NR1H4
chr12	100867254	100867388	135	*	X20088	9971	100867551	100957645	90095	+	162	upstream	162	NR1H4
chr12	101867499	101867619	121	*	X20106	121599	101869199	101880775	11577	+	1579	upstream	1579	SPIC
chr12	108732893	108733012	120	*	X20271	1240	108681821	108733094	51274	-	0	inside	81	CMKLR1
chr12	108733280	108733361	82	*	X20272	1240	108681821	108733094	51274	-	185	upstream	185	CMKLR1
chr12	113911588	113911677	90	*	X20642	64211	113900694	113909877	9184	-	1710	upstream	1710	LHX5
chr12	114844984	114845103	120	*	X20850	255480	114846000	114850637	4638	+	896	upstream	896	TBX5-AS1
chr12	114847950	114848084	135	*	X20851	6910	114791735	114846247	54513	-	1702	upstream	1702	TBX5
chr12	117799787	117799886	100	*	X21021	4842	117645947	117799607	153661	-	179	upstream	179	NOS1
chr12	117800327	117800416	90	*	X21022	4842	117645947	117799607	153661	-	719	upstream	719	NOS1
chr12	117800607	117800666	60	*	X21023	4842	117645947	117799607	153661	-	999	upstream	999	NOS1
chr12	117801207	117801416	210	*	X21024	4842	117645947	117799607	153661	-	1599	upstream	1599	NOS1
chr12	118406489	118406554	66	*	X21128	283455	117890817	118406028	515212	-	460	upstream	460	KSR2
chr12	119770406	119770540	135	*	X21171	160777	119772517	119978852	206336	+	1976	upstream	1976	CCDC60
chr12	120807556	120808590	1035	*	X21198	4440	120779133	120806983	27851	-	572	upstream	572	MSI1
chr12	120808606	120808755	150	*	X21199	4440	120779133	120806983	27851	-	1622	upstream	1622	MSI1
chr12	124773528	124773619	92	*	X21327	144347	124773710	124800570	26861	+	90	upstream	90	RFLNA
chr12	124773920	124774039	120	*	X21328	144347	124773710	124800570	26861	+	0	inside	209	RFLNA
chr12	125810586	125810705	120	*	X21396	114795	125811162	126143589	332428	+	456	upstream	456	TMEM132B
chr12	125811066	125811350	285	*	X21397	114795	125811162	126143589	332428	+	0	overlapStart	0	TMEM132B
chr12	131201441	131201575	135	*	X21720	23504	130880681	131200826	320146	-	614	upstream	614	RIMBP2
chr12	131201598	131201717	120	*	X21721	23504	130880681	131200826	320146	-	771	upstream	771	RIMBP2
chr12	131202663	131202768	106	*	X21722	23504	130880681	131200826	320146	-	1836	upstream	1836	RIMBP2
chr12	133188517	133188636	120	*	X21928	100507055	133179736	133187037	7302	-	1479	upstream	1479	LRCOL1
chr13	20768978	20768989	12	*	X21935	2706	20761604	20767114	5511	-	1863	upstream	1863	GJB2
chr13	29070597	29070731	135	*	X22364	2321	28874483	29069265	194783	-	1331	upstream	1331	FLT1
chr13	31506929	31507135	207	*	X22433	122046	31506834	31549153	42320	+	0	inside	94	TEX26
chr13	31506929	31507135	207	*	X22433	100507064	31456972	31506745	49774	-	183	upstream	183	TEX26-AS1
chr13	46680582	46680701	120	*	X22594	1361	46627322	46679211	51890	-	1370	upstream	1370	CPB2
chr13	46756343	46756401	59	*	X22598	3936	46700058	46756459	56402	-	0	inside	57	LCP1
chr13	51795602	51795751	150	*	X22629	220108	51796470	51858377	61908	+	718	upstream	718	FAM124A
chr13	88324316	88324555	240	*	X22743	26050	88324870	88331870	7001	+	314	upstream	314	SLITRK5
chr13	88324316	88324555	240	*	X22743	642345	88096242	88323218	226977	-	1097	upstream	1097	MIR4500HG
chr13	95131977	95132111	135	*	X22769	1638	95091841	95131936	40096	-	40	upstream	40	DCT
chr13	96741076	96741195	120	*	X22797	266722	96743093	97491816	748724	+	1897	upstream	1897	HS6ST3
chr13	96741346	96741480	135	*	X22798	266722	96743093	97491816	748724	+	1612	upstream	1612	HS6ST3
chr13	97636205	97636290	86	*	X22806	100887754	97593535	97636426	42892	-	0	inside	135	LINC00359
chr13	103046533	103046795	263	*	X22903	283481	103046928	103048055	1128	+	132	upstream	132	FGF14-AS2
chr13	103046533	103046795	263	*	X22903	283480	102944670	103046869	102200	-	0	inside	73	FGF14-IT1
chr13	103054529	103054783	255	*	X22906	2259	102373205	103054124	680920	-	404	upstream	404	FGF14
chr13	103054844	103054920	77	*	X22907	2259	102373205	103054124	680920	-	719	upstream	719	FGF14
chr13	109246640	109246684	45	*	X22947	23026	109248500	109860355	611856	+	1815	upstream	1815	MYO16
chr13	113028742	113028876	135	*	X23472	122258	113030651	113089009	58359	+	1774	upstream	1774	SPACA7
chr13	113621014	113621148	135	*	X23544	23263	113622814	113754053	131240	+	1665	upstream	1665	MCF2L
chr13	113775127	113775212	86	*	X23601	2159	113777113	113803843	26731	+	1900	upstream	1900	F10
chr13	114312180	114312356	177	*	X23605	496	114303122	114312513	9392	-	0	inside	156	ATP4B
chr13	114312720	114312809	90	*	X23606	496	114303122	114312513	9392	-	206	upstream	206	ATP4B
chr13	114312855	114312959	105	*	X23607	496	114303122	114312513	9392	-	341	upstream	341	ATP4B
chr13	114313249	114313488	240	*	X23608	496	114303122	114312513	9392	-	735	upstream	735	ATP4B
chr13	114314389	114314714	326	*	X23609	496	114303122	114312513	9392	-	1875	upstream	1875	ATP4B
chr13	114462410	114462452	43	*	X23611	348013	114462216	114514899	52684	+	0	inside	193	TMEM255B
chr14	20978670	20978789	120	*	X23632	338879	20978631	20979281	651	+	0	inside	38	RNASE10
chr14	21059530	21059679	150	*	X23636	122651	21051052	21058417	7366	-	1112	upstream	1112	RNASE11
chr14	21059530	21059679	150	*	X23636	493901	21058240	21058982	743	-	547	upstream	547	RNASE12
chr14	21214282	21214338	57	*	X23655	10876	21214099	21216539	2441	+	0	inside	182	EDDM3A
chr14	21270694	21270813	120	*	X23665	6035	21269515	21271036	1522	-	0	inside	222	RNASE1
chr14	21271060	21271164	105	*	X23666	6035	21269515	21271036	1522	-	23	upstream	23	RNASE1
chr14	21271450	21271464	15	*	X23667	6035	21269515	21271036	1522	-	413	upstream	413	RNASE1
chr14	21272356	21272358	3	*	X23668	6035	21269515	21271036	1522	-	1319	upstream	1319	RNASE1
chr14	22005067	22005257	191	*	X23709	6297	21989232	22005337	16106	-	0	inside	79	SALL2
chr14	22005318	22005452	135	*	X23710	6297	21989232	22005337	16106	-	0	overlapStart	0	SALL2
chr14	22038664	22038798	135	*	X23711	26533	22037934	22038875	942	-	0	inside	76	OR10G3
chr14	23840588	23840722	135	*	X23790	64806	23842018	23845612	3595	+	1295	upstream	1295	IL25
chr14	23840978	23841127	150	*	X23791	64806	23842018	23845612	3595	+	890	upstream	890	IL25
chr14	23841488	23841817	330	*	X23792	64806	23842018	23845612	3595	+	200	upstream	200	IL25
chr14	23846003	23846331	329	*	X23794	116173	23846017	23848981	2965	+	0	overlapStart	0	CMTM5
chr14	23857538	23857807	270	*	X23805	406990	23857805	23857875	71	-	0	overlapEnd	67	MIR208A
chr14	23857913	23858047	135	*	X23806	406990	23857805	23857875	71	-	37	upstream	37	MIR208A
chr14	23858483	23858617	135	*	X23807	406990	23857805	23857875	71	-	607	upstream	607	MIR208A
chr14	23858933	23859156	224	*	X23808	406990	23857805	23857875	71	-	1057	upstream	1057	MIR208A
chr14	23877359	23877667	309	*	X23822	4624	23851199	23877486	26288	-	0	overlapStart	0	MYH6
chr14	23877746	23877958	213	*	X23823	4624	23851199	23877486	26288	-	259	upstream	259	MYH6
chr14	23878109	23878243	135	*	X23824	4624	23851199	23877486	26288	-	622	upstream	622	MYH6
chr14	23887590	23887721	132	*	X23835	100126336	23887196	23887272	77	-	317	upstream	317	MIR208B
chr14	23905691	23905948	258	*	X23856	4625	23881947	23904870	22924	-	820	upstream	820	MYH7
chr14	23906654	23906713	60	*	X23857	4625	23881947	23904870	22924	-	1783	upstream	1783	MYH7
chr14	23906733	23906792	60	*	X23858	4625	23881947	23904870	22924	-	1862	upstream	1862	MYH7
chr14	25045330	25045449	120	*	X23926	1511	25042724	25045466	2743	-	0	inside	16	CTSG
chr14	25045465	25045599	135	*	X23927	1511	25042724	25045466	2743	-	0	overlapStart	0	CTSG
chr14	29241900	29242016	117	*	X23936	387978	29241910	29264000	22091	+	0	overlapStart	0	LINC01551
chr14	60973910	60974029	120	*	X24168	4990	60975938	60978525	2588	+	1908	upstream	1908	SIX6
chr14	65347333	65347343	11	*	X24196	6710	65213001	65346601	133601	-	731	upstream	731	SPTB
chr14	73703681	73703983	303	*	X24512	89932	73704205	73741347	37143	+	221	upstream	221	PAPLN
chr14	74894510	74894644	135	*	X24526	646658	74872596	74892805	20210	-	1704	upstream	1704	SYNDIG1L
chr14	77291177	77291356	180	*	X24783	145497	77292725	77336645	43921	+	1368	upstream	1368	LRRC74A
chr14	77609145	77609279	135	*	X24799	283576	77597613	77608134	10522	-	1010	upstream	1010	ZDHHC22
chr14	77609670	77609883	214	*	X24800	283576	77597613	77608134	10522	-	1535	upstream	1535	ZDHHC22
chr14	78635128	78635247	120	*	X24845	9369	78636716	80334633	1697918	+	1468	upstream	1468	NRXN3
chr14	81421817	81421947	131	*	X24860	7253	81421869	81612646	190778	+	0	overlapStart	0	TSHR
chr14	90921795	90921914	120	*	X24926	400238	90921574	90925249	3676	+	0	inside	220	LINC00642
chr14	92786807	92786956	150	*	X24970	123041	92788925	92967825	178901	+	1968	upstream	1968	SLC24A4
chr14	92788647	92788781	135	*	X24971	123041	92788925	92967825	178901	+	143	upstream	143	SLC24A4
chr14	94256447	94256596	150	*	X25126	145270	94184644	94254766	70123	-	1680	upstream	1680	PRIMA1
chr14	94256642	94256780	139	*	X25127	145270	94184644	94254766	70123	-	1875	upstream	1875	PRIMA1
